"Name","State","Notes","User","Tags","Created","Runtime","Sweep","add_gaussian_noise","batch_size","corrector_name","dataset","do_sample","max_samples","max_seq_length","model_name","noise_lambda","num_steps","sequence_beam_width","top_p","dataset_list","max_querry_samples","noise_mean","noise_std","quantize_list","ada_emb_cos_sim_mean","ada_emb_cos_sim_sem","bleu","bleu_score","bleu_score_sem","emb_cos_sim","emb_cos_sim_sem","exact","exact_match","exact_match_sem","f1","n_ngrams_match_1","n_ngrams_match_2","n_ngrams_match_3","num_pred_words","num_true_words","rouge_score","token_set_f1","token_set_f1_sem","token_set_precision","token_set_recall","arguana.lambda noise 0.001.bleu","arguana.lambda noise 0.001.bleu_score_sem","arguana.lambda noise 0.001.ndcg","arguana.lambda noise 0.01.bleu","arguana.lambda noise 0.01.bleu_score_sem","arguana.lambda noise 0.01.ndcg","arguana.lambda noise 0.1.bleu","arguana.lambda noise 0.1.bleu_score_sem","arguana.lambda noise 0.1.ndcg","arguana.lambda noise 1.bleu","arguana.lambda noise 1.bleu_score_sem","arguana.lambda noise 1.ndcg","arguana.method: naive-8-bit.bleu","arguana.method: naive-8-bit.bleu_score_sem","arguana.method: naive-8-bit.ndcg","arguana.method: zero_point.bleu","arguana.method: zero_point.bleu_score_sem","arguana.method: zero_point.ndcg","fiqa.lambda noise 0.001.bleu","fiqa.lambda noise 0.001.bleu_score_sem","fiqa.lambda noise 0.001.ndcg","fiqa.lambda noise 0.01.bleu","fiqa.lambda noise 0.01.bleu_score_sem","fiqa.lambda noise 0.01.ndcg","fiqa.lambda noise 0.1.bleu","fiqa.lambda noise 0.1.bleu_score_sem","fiqa.lambda noise 0.1.ndcg","fiqa.lambda noise 1.bleu","fiqa.lambda noise 1.bleu_score_sem","fiqa.lambda noise 1.ndcg","fiqa.method: naive-8-bit.bleu","fiqa.method: naive-8-bit.bleu_score_sem","fiqa.method: naive-8-bit.ndcg","fiqa.method: zero_point.bleu","fiqa.method: zero_point.bleu_score_sem","fiqa.method: zero_point.ndcg","nfcorpus.lambda noise 0.001.bleu","nfcorpus.lambda noise 0.001.bleu_score_sem","nfcorpus.lambda noise 0.001.ndcg","nfcorpus.lambda noise 0.01.bleu","nfcorpus.lambda noise 0.01.bleu_score_sem","nfcorpus.lambda noise 0.01.ndcg","nfcorpus.lambda noise 0.1.bleu","nfcorpus.lambda noise 0.1.bleu_score_sem","nfcorpus.lambda noise 0.1.ndcg","nfcorpus.lambda noise 1.bleu","nfcorpus.lambda noise 1.bleu_score_sem","nfcorpus.lambda noise 1.ndcg","nfcorpus.method: naive-8-bit.bleu","nfcorpus.method: naive-8-bit.bleu_score_sem","nfcorpus.method: naive-8-bit.ndcg","nfcorpus.method: zero_point.bleu","nfcorpus.method: zero_point.bleu_score_sem","nfcorpus.method: zero_point.ndcg","quora.lambda noise 0.001.bleu","quora.lambda noise 0.001.bleu_score_sem","quora.lambda noise 0.001.ndcg","quora.lambda noise 0.01.bleu","quora.lambda noise 0.01.bleu_score_sem","quora.lambda noise 0.01.ndcg","quora.lambda noise 0.1.bleu","quora.lambda noise 0.1.bleu_score_sem","quora.lambda noise 0.1.ndcg","quora.lambda noise 1.bleu","quora.lambda noise 1.bleu_score_sem","quora.lambda noise 1.ndcg","quora.method: naive-8-bit.bleu","quora.method: naive-8-bit.bleu_score_sem","quora.method: naive-8-bit.ndcg","quora.method: zero_point.bleu","quora.method: zero_point.bleu_score_sem","quora.method: zero_point.ndcg","scifact.lambda noise 0.001.bleu","scifact.lambda noise 0.001.bleu_score_sem","scifact.lambda noise 0.001.ndcg","scifact.lambda noise 0.01.bleu","scifact.lambda noise 0.01.bleu_score_sem","scifact.lambda noise 0.01.ndcg","scifact.lambda noise 0.1.bleu","scifact.lambda noise 0.1.bleu_score_sem","scifact.lambda noise 0.1.ndcg","scifact.lambda noise 1.bleu","scifact.lambda noise 1.bleu_score_sem","scifact.lambda noise 1.ndcg","scifact.method: naive-8-bit.bleu","scifact.method: naive-8-bit.bleu_score_sem","scifact.method: naive-8-bit.ndcg","scifact.method: zero_point.bleu","scifact.method: zero_point.bleu_score_sem","scifact.method: zero_point.ndcg","vihealthqa.lambda noise 0.001.bleu","vihealthqa.lambda noise 0.001.bleu_score_sem","vihealthqa.lambda noise 0.001.ndcg","vihealthqa.lambda noise 0.01.bleu","vihealthqa.lambda noise 0.01.bleu_score_sem","vihealthqa.lambda noise 0.01.ndcg","vihealthqa.lambda noise 0.1.bleu","vihealthqa.lambda noise 0.1.bleu_score_sem","vihealthqa.lambda noise 0.1.ndcg","vihealthqa.lambda noise 1.bleu","vihealthqa.lambda noise 1.bleu_score_sem","vihealthqa.lambda noise 1.ndcg","vihealthqa.method: naive-8-bit.bleu","vihealthqa.method: naive-8-bit.bleu_score_sem","vihealthqa.method: naive-8-bit.ndcg","vihealthqa.method: zero_point.bleu","vihealthqa.method: zero_point.bleu_score_sem","vihealthqa.method: zero_point.ndcg","arguana.method: nothing.bleu","arguana.method: nothing.bleu_score_sem","arguana.method: nothing.ndcg","fiqa.method: nothing.bleu","fiqa.method: nothing.bleu_score_sem","fiqa.method: nothing.ndcg","nfcorpus.method: nothing.bleu","nfcorpus.method: nothing.bleu_score_sem","nfcorpus.method: nothing.ndcg","quora.method: nothing.bleu","quora.method: nothing.bleu_score_sem","quora.method: nothing.ndcg","scifact.method: nothing.bleu","scifact.method: nothing.bleu_score_sem","scifact.method: nothing.ndcg","vihealthqa.method: nothing.bleu","vihealthqa.method: nothing.bleu_score_sem","vihealthqa.method: nothing.ndcg","average_cpu_flops_per_sample","average_cpu_memory_per_sample","average_cuda_flops_per_sample","average_cuda_memory_per_sample","total_cpu_flops","total_cpu_memory","total_cuda_flops","total_cuda_memory"
"model-sentence-transformers/gtr-t5-base_corrector-gtr-base_steps-8_beam-16_nucleus-False","finished","-","","","2024-12-11T11:37:30.000Z","1439","","false","1","gtr-base","nq","false","100","32","sentence-transformers/gtr-t5-base","0.1","8","16","","","","","","","0.998616099357605","0.0008258062298409641","","99.44869919197868","0.4522490512900987","","","","0.97","0.01714466079977653","","24.68","23.61","22.56","24.71","24.7","0.9996153846153846","0.999229781771502","0.0005778437354879553","0.9994736842105264","0.9989974937343358","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"model-sentence-transformers/gtr-t5-base_corrector-gtr-base_steps-4_beam-16_nucleus-False","finished","-","","","2024-12-11T11:25:24.000Z","686","","false","1","gtr-base","nq","false","100","32","sentence-transformers/gtr-t5-base","0.1","4","16","","","","","","","0.9962964057922364","0.0014493886847048998","","95.55917716927298","1.367308911893107","","","","0.85","0.03588702812826367","","24.36","22.79","21.46","24.68","24.7","0.9900481315714692","0.988489877486706","0.0038512470058352046","0.9882011143890432","0.9888851682621131","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"model-sentence-transformers/gtr-t5-base_corrector-gtr-base_steps-2_beam-16_nucleus-False","finished","-","","","2024-12-11T11:19:29.000Z","315","","false","1","gtr-base","nq","false","100","32","sentence-transformers/gtr-t5-base","0.1","2","16","","","","","","","0.981941819190979","0.0026058279909193516","","78.77526737316735","2.8004153568112553","","","","0.51","0.05024183937956914","","22.67","19.38","17.24","24.57","24.7","0.9271437576021924","0.9274566617052904","0.011447680167011068","0.9229683943994316","0.9327100451332716","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"model-sentence-transformers/gtr-t5-base_corrector-gtr-base_steps-128_beam-1_nucleus-False","finished","-","","","2024-12-11T10:48:39.000Z","424","","false","16","gtr-base","nq","false","100","32","sentence-transformers/gtr-t5-base","0.1","128","1","","","","","","","0.98865807056427","0.002400236204266548","","86.37976704292623","2.0832941720835487","","","","0.63","0.048523658709390974","","23.93","21.19","19.12","24.7","24.7","0.9709554634219112","0.9723712122748308","0.006794675751244597","0.9720397135473222","0.9729622001613047","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"model-sentence-transformers/gtr-t5-base_corrector-gtr-base_steps-64_beam-1_nucleus-False","finished","-","","","2024-12-11T10:44:46.000Z","225","","false","16","gtr-base","nq","false","100","32","sentence-transformers/gtr-t5-base","0.1","64","1","","","","","","","0.9883171916007996","0.0025243237614631653","","86.42941492543594","2.0733181470560114","","","","0.63","0.048523658709390974","","23.95","21.2","19.14","24.72","24.7","0.9719824862105017","0.9729041758950616","0.0066963481016387","0.9724424448739666","0.9736193147858108","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"model-sentence-transformers/gtr-t5-base_corrector-gtr-base_steps-32_beam-1_nucleus-False","finished","-","","","2024-12-11T10:42:29.000Z","129","","false","16","gtr-base","nq","false","100","32","sentence-transformers/gtr-t5-base","0.1","32","1","","","","","","","0.9874531030654908","0.002707129344344139","","85.1625285542636","2.328038046184142","","","","0.63","0.048523658709390974","","23.69","20.9","18.84","24.69","24.7","0.9624816460012496","0.9626614031212702","0.00946277053064209","0.9628142837520984","0.962790728878964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"model-sentence-transformers/gtr-t5-base_corrector-gtr-base_steps-16_beam-1_nucleus-False","finished","-","","","2024-12-11T10:41:04.000Z","77","","false","16","gtr-base","nq","false","100","32","sentence-transformers/gtr-t5-base","0.1","16","1","","","","","","","0.9865310788154602","0.0027535767294466496","","84.66019734464848","2.315311902421275","","","","0.61","0.04902071300001973","","23.66","20.79","18.68","24.68","24.7","0.960970210258006","0.9628889100548452","0.008905824135880326","0.9619401020604108","0.9642678640626208","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"model-sentence-transformers/gtr-t5-base_corrector-gtr-base_steps-8_beam-1_nucleus-False","finished","-","","","2024-12-11T10:40:04.000Z","52","","false","16","gtr-base","nq","false","100","32","sentence-transformers/gtr-t5-base","0.1","8","1","","","","","","","0.9797131419181824","0.00320870173163712","","79.61155064142767","2.6868413106807747","","","","0.54","0.05009082659620331","","22.99","19.74","17.53","24.74","24.7","0.9332951475953656","0.9363346826259672","0.010858397106444604","0.935366420383583","0.937921260896863","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"model-sentence-transformers/gtr-t5-base_corrector-gtr-base_steps-4_beam-1_nucleus-False","finished","-","","","2024-12-11T10:39:18.000Z","38","","false","16","gtr-base","nq","false","100","32","sentence-transformers/gtr-t5-base","0.1","4","1","","","","","","","0.9742156863212584","0.00359909376129508","","71.65220232884913","3.208486946285084","","","","0.47","0.05016135580465918","","22.25","18.04","15.6","24.63","24.7","0.9052574995378926","0.9059891125206536","0.013530268668789352","0.9042588716651944","0.9085190404231156","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"model-sentence-transformers/gtr-t5-base_corrector-gtr-base_steps-2_beam-1_nucleus-False","finished","-","","","2024-12-11T10:38:36.000Z","34","","false","16","gtr-base","nq","false","100","32","sentence-transformers/gtr-t5-base","0.1","2","1","","","","","","","0.9576844573020936","0.004401016514748335","","61.33283002268804","3.1718057241304782","","","","0.28","0.045126085985421296","","20.86","15.84","12.92","24.34","24.7","0.8561719056896817","0.8566335013215389","0.015531842566984705","0.8493602006799776","0.8651841673824743","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"model-sentence-transformers/gtr-t5-base_corrector-gtr-base_steps-1_beam-1_nucleus-False","finished","-","","","2024-12-11T10:37:54.000Z","34","","false","16","gtr-base","nq","false","100","32","sentence-transformers/gtr-t5-base","0.1","1","1","","","","","","","0.942553460597992","0.004534643143415451","","51.19729484989751","2.95593883890725","","","","0.13","0.033799766898963114","","19.53","13.65","10.55","24.38","24.7","0.8011313285058156","0.7986627578404867","0.015966725365168546","0.7919917662392996","0.8069373980668033","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"model-sentence-transformers/gtr-t5-base_corrector-gtr-base_steps-4_beam-32_nucleus-False","finished","-","","","2024-12-11T09:46:47.000Z","2070","","false","1","gtr-base","nq","false","100","32","sentence-transformers/gtr-t5-base","0.1","4","32","","","","","","","0.9973278641700744","0.001058190711773932","","97.28496437067626","0.9697358836502328","","","","0.89","0.03144660377352201","","24.48","23.11","21.91","24.71","24.7","0.9929204394986486","0.9919751657158846","0.003206802232862683","0.9918909336277756","0.9920847542998572","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"model-sentence-transformers/gtr-t5-base_corrector-gtr-base_steps-2_beam-32_nucleus-False","finished","-","","","2024-12-11T09:33:43.000Z","774","","false","1","gtr-base","nq","false","100","32","sentence-transformers/gtr-t5-base","0.1","2","32","","","","","","","0.9829975962638856","0.002995376940816641","","82.00386756126107","2.638687924722095","","","","0.58","0.04960449637488583","","22.99","20.05","17.99","24.44","24.7","0.9424356662751516","0.937815487677684","0.010530147827187126","0.933213742882928","0.9430647502959688","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"model-sentence-transformers/gtr-t5-base_corrector-gtr-base_steps-1_beam-32_nucleus-False","finished","-","","","2024-12-11T09:31:22.000Z","133","","false","1","gtr-base","nq","false","100","32","sentence-transformers/gtr-t5-base","0.1","1","32","","","","","","","0.9603163003921508","0.003960268571972847","","61.08268262510036","2.946955981747159","","","","0.21","0.04093601807403323","","20.56","15.59","12.8","24.33","24.7","0.8451635276417884","0.8453819970872134","0.015528960047543451","0.8372138334022804","0.8548363149722753","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"model-sentence-transformers/gtr-t5-base_corrector-gtr-base_steps-128_beam-4_nucleus-False","finished","-","","","2024-12-11T07:52:13.000Z","1726","","false","16","gtr-base","nq","false","100","32","sentence-transformers/gtr-t5-base","0.1","128","4","","","","","","","0.9963259100914","0.0011970801278948784","","95.59118705337504","1.3325780101390046","","","","0.87","0.03379976689896311","","24.4","22.87","21.58","24.7","24.7","0.9888992532015786","0.9876541791088536","0.004443043173487286","0.9872506793168692","0.9882103416754446","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"model-sentence-transformers/gtr-t5-base_corrector-gtr-base_steps-128_beam-2_nucleus-False","finished","-","","","2024-12-11T01:29:15.000Z","806","","false","16","gtr-base","nq","false","100","32","sentence-transformers/gtr-t5-base","0.1","128","2","","","","","","","0.9923503994941713","0.0019873143173754215","","91.44146831628107","1.8379544581976723","","","","0.76","0.04292346959909278","","24.08","22.07","20.43","24.69","24.7","0.9794235901995552","0.9792315781235909","0.006569178218454845","0.977265670320018","0.9814756214799693","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"model-sentence-transformers/gtr-t5-base_corrector-gtr-base_steps-64_beam-8_nucleus-False","finished","-","","","2024-12-11T00:42:16.000Z","2765","","false","16","gtr-base","nq","false","100","32","sentence-transformers/gtr-t5-base","0.1","64","8","","","","","","","0.9980937242507936","0.0009348971070721744","","98.52818922101376","0.7759706220239512","","","","0.94","0.023868325657594204","","24.65","23.48","22.37","24.71","24.7","0.9958653846153848","0.9958964484381686","0.00337537374913952","0.996140350877193","0.9956641604010024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"model-sentence-transformers/gtr-t5-base_corrector-gtr-base_steps-64_beam-4_nucleus-False","finished","-","","","2024-12-11T00:27:33.000Z","875","","false","16","gtr-base","nq","false","100","32","sentence-transformers/gtr-t5-base","0.1","64","4","","","","","","","0.9963330626487732","0.001197546604089439","","95.59118705337504","1.3325780101390046","","","","0.87","0.03379976689896311","","24.4","22.87","21.58","24.7","24.7","0.9888992532015786","0.9876541791088536","0.004443043173487286","0.9872506793168692","0.9882103416754446","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"model-sentence-transformers/gtr-t5-base_corrector-gtr-base_steps-64_beam-2_nucleus-False","finished","-","","","2024-12-11T00:20:31.000Z","414","","false","16","gtr-base","nq","false","100","32","sentence-transformers/gtr-t5-base","0.1","64","2","","","","","","","0.992617666721344","0.001913849962875247","","91.44063244063972","1.8382354972968304","","","","0.76","0.04292346959909278","","24.05","22.07","20.43","24.68","24.7","0.9782936203538288","0.9784152515929786","0.006966088696811498","0.9764323369866847","0.9806756214799692","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"model-sentence-transformers/gtr-t5-base_corrector-gtr-base_steps-32_beam-8_nucleus-False","finished","-","","","2024-12-10T23:56:54.000Z","1372","","false","16","gtr-base","nq","false","100","32","sentence-transformers/gtr-t5-base","0.1","32","8","","","","","","","0.998118221759796","0.0009338581003248692","","98.52818922101376","0.7759706220239512","","","","0.94","0.023868325657594204","","24.65","23.48","22.37","24.71","24.7","0.9958653846153848","0.9958964484381686","0.00337537374913952","0.996140350877193","0.9956641604010024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"model-sentence-transformers/gtr-t5-base_corrector-gtr-base_steps-32_beam-4_nucleus-False","finished","-","","","2024-12-10T23:49:18.000Z","448","","false","16","gtr-base","nq","false","100","32","sentence-transformers/gtr-t5-base","0.1","32","4","","","","","","","0.9963332414627076","0.001197397941723466","","95.59118705337504","1.3325780101390046","","","","0.87","0.03379976689896311","","24.4","22.87","21.58","24.7","24.7","0.9888992532015786","0.9876541791088536","0.004443043173487286","0.9872506793168692","0.9882103416754446","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
